username,repo_name,stars,repo_url
jlevy,the-art-of-command-line,https://github.com//jlevy/the-art-of-command-line,90100
nvm-sh,nvm,https://github.com//nvm-sh/nvm,90100
junegunn,fzf,https://github.com//junegunn/fzf,90100
google,zx,https://github.com//google/zx,90100
starship,starship,https://github.com//starship/starship,90100
dylanaraps,pure-bash-bible,https://github.com//dylanaraps/pure-bash-bible,90100
LeCoupa,awesome-cheatsheets,https://github.com//LeCoupa/awesome-cheatsheets,90100
koalaman,shellcheck,https://github.com//koalaman/shellcheck,90100
acmesh-official,acme.sh,https://github.com//acmesh-official/acme.sh,90100
mathiasbynens,dotfiles,https://github.com//mathiasbynens/dotfiles,90100
alebcay,awesome-shell,https://github.com//alebcay/awesome-shell,90100
jaywcjlove,linux-command,https://github.com//jaywcjlove/linux-command,90100
withfig,autocomplete,https://github.com//withfig/autocomplete,90100
dylanaraps,neofetch,https://github.com//dylanaraps/neofetch,90100
Nyr,openvpn-install,https://github.com//Nyr/openvpn-install,90100
rbenv,rbenv,https://github.com//rbenv/rbenv,90100
faressoft,terminalizer,https://github.com//faressoft/terminalizer,90100
shelljs,shelljs,https://github.com//shelljs/shelljs,90100
powerline,powerline,https://github.com//powerline/powerline,90100
Bash-it,bash-it,https://github.com//Bash-it/bash-it,90100
